id,err,cp
1479,59.7363,0
1480,55.1589,0
1481,64.927,0
1482,15.125,0
1483,20.042,0
1484,62.7339,1
1485,55.1565,0
1486,51.452,0
1487,47.093,0
1488,40.768,0
1489,40.682,0
1490,35.5706,0
1491,41.522,0
1492,67.975,0
1493,73.875,0
1494,67.217,0
1495,35.1608,0
1496,50.9636,0
1497,35.443,0
1498,68.694,0
1499,65.977,0
1500,67,0
1501,77.477,0
1502,70.819,0
1503,71.783,0
1504,31.8706,0
1505,36.6592,0
1506,30.643,0
1507,32.1114,0
1508,33.4886,0
1509,33.67,0
1510,30.9478,0
1511,46.454,0
1512,46.397,0
1513,43.943,0
1514,77.25,0
1515,71.704,0
1516,68.023,0
1517,83.533,0
1518,73.9,0
1519,73,0
1520,69.125,0
1521,74.215,0
1522,80.5,0
1523,63.625,0
1524,71.025,0
1525,62.033,0
1526,63.761,0
1527,0.167,0
1528,95.283,1
1529,76.456,0
1530,68.489,0
1531,0.292,0
1532,67.195,0
1533,0.042,0
1534,78.081,1
1535,14.4092,0
1536,70.414,0
1537,83.625,0
1538,66.989,0
1539,10.25,0
1540,4.292,0
1541,0.542,0
1542,7.625,0
1543,8.458,0
1544,17.75,0
1545,86.658,1
1546,56.977,0
1547,66.18,0
1548,77.6,0
1549,76.136,0
1550,71.761,0
1551,81.805,0
1552,66.635,0
1553,62.783,0
1554,67.483,0
1555,41.796,0
1556,37.2,0
1557,38.387,0
1558,59.898,0
1559,64.592,0
1560,0.25,0
1561,1.042,0
1562,0.958,0
1563,5.667,0
1564,3.625,0
1565,2.708,0
1566,1.25,0
1567,0.708,0
1568,0.125,0
1569,0.625,0
1570,3.375,0
1571,44.035,1
1572,46.318,0
1573,49.853,0
1574,0.542,0
1575,0.25,0
1576,1,0
1577,1.542,0
1578,0.333,0
1579,0.083,0
1580,0.875,0
1581,4.25,0
1582,3.792,0
1583,3.667,0
1584,7.833,0
1585,14.708,0
1586,19.125,0
1587,20.5,0
1588,6.917,0
1589,3.542,0
1590,5.542,0
1591,3.917,0
1592,3.917,0
1593,7.5,0
1594,1.104,0
1595,2.875,0
1596,4.167,0
1597,4,0
1598,3.917,0
1599,1.167,0
1600,0.875,0
1601,1.708,0
1602,1.75,0
1603,1,0
1604,1.042,0
1605,0.125,0
1606,1.708,0
1607,1.792,0
1608,0.5,0
1609,1.417,0
1610,0.25,0
1611,2.167,0
1612,0.625,0
1613,1.708,0
1614,2,0
1615,2,0
1616,0.208,0
1617,2.375,0
1618,2.25,0
1619,0.583,0
1620,0.417,0
1621,0.833,0
1622,0.167,0
1623,1.5,0
1624,3.875,0
1625,0.625,0
1626,0.917,0
1627,1,0
1628,0.855,0
1629,0.5,0
1630,0.167,0
1631,1.708,0
1632,3.458,0
1633,1.375,0
1634,0.458,0
1635,1.75,0
1636,0.042,0
1637,2.958,0
1638,2.021,0
1639,1.083,0
1640,4.167,0
1641,5.312,0
1642,1.333,0
1643,3.958,0
1644,2.792,0
1645,6.167,0
1646,5.917,0
1647,2.333,0
1648,2.917,0
1649,1.042,0
1650,6.583,0
1651,5.708,0
1652,2.125,0
1653,4.708,0
1654,3.75,0
1655,1.792,0
1656,0.5,0
1657,0.292,0
1658,1.5,0
1659,0.542,0
1660,0.25,0
1661,0.3,0
1662,0.5,0
1663,0,0
1664,1.083,0
1665,0.208,0
1666,0.167,0
1667,0.333,0
1668,0.125,0
1669,0.5,0
1670,0.917,0
1671,0.333,0
1672,2.208,0
1673,1.083,0
1674,0.125,0
1675,1.5,0
