id,err,cp
801,11.601,0
802,11.622,0
803,12.021,0
804,12.231,0
805,11.874,0
806,8.598,0
807,7.8,0
808,7.653,0
809,69.2325,1
810,125.685,0
811,126.855,0
812,128.34,0
813,57.795,0
814,12.147,0
815,11.811,0
816,11.559,0
817,11.643,0
818,11.979,0
819,17.628,0
820,25.482,0
821,25.062,0
822,24.978,0
823,15.948,0
824,3.813,0
825,3.498,0
826,3.456,0
827,3.687,0
828,3.792,0
829,3.267,0
830,9.501,0
831,7.821,0
832,64.8225,1
833,127.2225,0
834,129.3,0
835,31.365,0
836,12.882,0
837,13.05,0
838,20.253,0
839,24.243,0
840,25.629,0
841,25.692,0
842,25.083,0
843,18.804,0
844,13.176,0
845,69.615,1
846,130.1325,0
847,128.9625,0
848,109.2075,0
849,47.82,0
850,9.795,0
851,11.454,0
852,10.719,0
853,16.662,0
854,25.041,0
855,24.747,0
856,24.159,0
857,40.44,1
858,128.9625,0
859,123.3825,0
860,59.82,0
861,1.353,0
862,3.036,0
863,11.142,0
864,16.434,0
865,18.681,0
866,112.665,1
867,119.4075,0
868,130.245,0
869,133.8375,0
870,133.545,0
871,115.6125,0
872,122.04,0
873,118.86,0
874,60.7125,0
875,6.939,0
876,7.968,0
877,16.095,0
878,22.122,0
879,22.101,0
880,69.495,1
881,147.51,0
882,147.4575,0
883,146.46,0
884,53.01,0
885,6.0225,0
886,22.521,0
887,22.815,0
888,21.996,0
889,22.437,0
890,22.647,0
891,22.269,0
892,18.195,0
893,82.2225,1
894,126.6975,0
895,106.9725,0
896,0.537,0
897,9.501,0
898,10.572,0
899,22.731,0
900,23.382,0
901,23.697,0
902,23.76,0
903,23.739,0
904,22.626,0
905,54.2625,1
906,139.5675,0
907,136.515,0
908,75.6075,0
909,10.908,0
910,10.992,0
911,10.761,0
912,21.345,0
913,23.739,0
914,23.949,0
915,23.865,0
916,20.946,0
917,86.9325,1
918,141.975,0
919,138.7425,0
920,136.4025,0
921,93.585,0
922,16.809,0
923,23.571,0
924,24.012,0
925,23.928,0
926,24.537,0
927,18.741,0
928,11.013,0
929,60.3975,1
930,129.9975,0
931,130.2975,0
932,130.7025,0
933,54.3,0
934,12.336,0
935,11.832,0
936,11.433,0
937,23.865,0
938,21.387,0
939,23.382,0
940,20.169,0
941,90.2775,1
942,143.9325,0
943,144.5625,0
944,129.18,0
945,41.2425,0
946,12.84,0
947,20.589,0
948,24.222,0
949,23.844,0
950,24.075,0
951,23.571,0
952,23.823,0
953,15.255,0
954,79.86,1
955,133.9725,0
956,133.5375,0
957,62.8575,0
958,11.958,0
959,12.42,0
960,20.568,0
961,24.999,0
962,25.251,0
963,25.23,0
964,25.188,0
965,25.104,0
966,15.864,0
967,79.5225,1
968,135.0525,0
969,135.405,0
970,66.405,0
971,13.008,0
972,12.399,0
973,12.651,0
974,12.168,0
975,25.566,0
976,25.671,0
977,24.726,0
978,25.062,0
979,25.608,0
980,25.377,0
981,10.803,0
982,8.157,0
983,3.96,0
984,5.577,0
985,5.325,0
986,5.115,0
987,5.199,0
988,5.325,0
989,3.183,0
990,4.17,0
991,63.285,1
992,114.405,0
993,119.43,0
994,43.8675,0
995,12.021,0
996,11.601,0
997,11.37,0
998,11.622,0
999,11.391,0
1000,11.16,0
1001,11.202,0
1002,11.58,0
1003,11.706,0
1004,11.496,0
1005,11.139,0
1006,11.034,0
1007,11.244,0
1008,11.454,0
1009,9.963,0
1010,8.703,0
1011,8.976,0
1012,8.682,0
1013,76.665,1
1014,128.34,0
1015,128.0925,0
1016,67.89,0
1017,12.273,0
1018,13.176,0
1019,26.028,0
1020,24.747,0
1021,25.125,0
1022,25.377,0
1023,23.382,0
1024,20.4,0
1025,77.145,1
1026,136.6725,0
1027,108.315,0
1028,14.8575,0
1029,11.853,0
1030,13.029,0
1031,12.819,0
1032,13.911,0
1033,26.091,0
1034,25.839,0
1035,26.301,0
1036,15.423,0
1037,66.9,1
1038,119.46,0
1039,91.59,0
1040,3.708,0
1041,2.973,0
1042,3.477,0
1043,11.454,0
1044,13.344,0
1045,14.898,0
1046,26.826,0
1047,25.293,0
1048,20.421,0
1049,95.865,1
1050,140.3775,0
1051,137.9025,0
1052,99.36,0
1053,12.483,0
1054,13.05,0
1055,12.609,0
1056,12.252,0
1057,12.441,0
1058,12.294,0
1059,11.853,0
1060,12.021,0
1061,73.7925,1
1062,135.4875,0
1063,127.515,0
1064,16.17,0
1065,20.673,0
1066,25.209,0
1067,25.083,0
1068,24.789,0
1069,24.537,0
1070,24.39,0
1071,10.824,0
1072,69.2385,1
1073,130.9785,0
1074,131.0835,0
1075,131.556,0
1076,59.1585,0
1077,11.202,0
1078,11.328,0
1079,11.139,0
1080,11.307,0
1081,21.513,0
1082,23.109,0
1083,24.432,0
1084,17.67,0
1085,73.965,1
1086,138.6675,0
1087,137.325,0
1088,135.4575,0
1089,53.58,0
1090,12.777,0
1091,12.462,0
1092,11.727,0
1093,12.504,0
1094,25.293,0
1095,25.419,0
1096,22.017,0
1097,80.9325,1
1098,140.88,0
1099,138.3,0
1100,136.035,0
1101,51.24,0
1102,11.958,0
1103,11.559,0
1104,11.139,0
1105,20.106,0
1106,24.873,0
1107,24.516,0
1108,15.087,0
1109,65.4225,1
1110,132.2475,0
1111,129.2475,0
1112,95.01,0
1113,5.805,0
1114,12.063,0
1115,24.075,0
1116,1.899,0
1117,1.65,0
1118,1.881,0
1119,3.768,0
1120,18.384,0
1121,65.91,1
1122,137.985,0
1123,135.2475,0
1124,132.7725,0
1125,80.4225,0
1126,6.183,0
1127,21.66,0
1128,22.71,0
1129,23.088,0
1130,23.067,0
1131,22.815,0
1132,22.542,0
1133,22.626,0
1134,71.5425,1
1135,146.535,0
1136,145.245,0
1137,62.265,0
1138,18.972,0
1139,24.18,0
1140,23.802,0
1141,23.781,0
1142,23.886,0
1143,23.718,0
1144,23.655,0
1145,24.075,0
1146,24.936,0
1147,25.188,0
1148,15.717,0
1149,12.105,0
1150,10.404,0
1151,8.976,0
1152,6.396,0
1153,18.345,0
1154,18.387,0
1155,18.261,0
1156,0.324,0
1157,11.706,0
1158,56.9775,1
1159,124.2975,0
1160,116.4675,0
1161,2.403,0
1162,11.853,0
1163,16.641,0
1164,23.928,0
1165,23.697,0
1166,23.844,0
1167,24.201,0
1168,24.18,0
1169,12.987,0
1170,11.265,0
1171,11.118,0
1172,10.551,0
1173,10.551,0
1174,10.404,0
1175,9.438,0
1176,3.726,0
1177,39.2925,1
1178,62.58,0
1179,70.17,0
1180,71.7225,0
1181,95.43,0
1182,128.6925,0
1183,129.51,0
1184,130.275,0
1185,66.015,0
1186,11.538,0
1187,11.685,0
1188,11.769,0
1189,11.412,0
1190,11.118,0
1191,19.056,0
1192,23.823,0
1193,23.718,0
1194,23.697,0
1195,23.466,0
1196,23.508,0
1197,23.613,0
1198,10.278,0
1199,10.341,0
1200,10.32,0
1201,9.543,0
1202,4.377,0
1203,5.556,0
1204,5.514,0
1205,53.2725,1
1206,103.7775,0
1207,5.661,0
1208,3.138,0
1209,3.852,0
1210,12.63,0
1211,19.245,0
1212,24.957,0
1213,25.251,0
1214,25.188,0
1215,22.143,0
1216,12.126,0
1217,11.517,0
1218,10.929,0
1219,1.122,0
1220,3.918,0
1221,3.624,0
1222,3.225,0
1223,3.141,0
1224,5.91,0
1225,9.984,0
1226,10.446,0
1227,10.383,0
1228,9.984,0
1229,62.4075,1
1230,122.7225,0
1231,131.22,0
1232,143.235,0
1233,124.7475,0
1234,88.3575,0
1235,2.847,0
